기사 작성일	기사 제목	기사 url	기사 내용	언론사
28 MARZO 2022	Pachinko', il riscatto di una vita migrante. Yuh-Jung Youn: "Pregiudizi? Il mondo te li insegna"	https://www.repubblica.it/serietv/appletvplus/2022/03/28/news/pachinko-343192783/?ref=search	Ottant’anni di storia familiare attraverso Corea, Giappone, Stati Uniti. L’arco della vita di una bambina nata in un villaggio di pescatori vicino a Busan negli anni Dieci del Novecento, che diventa donna, si innamora di un uomo che le è proibito, emigra ad Osaka, cresce due figli, manda un nipote a far carriera negli Stati Uniti, tutto sullo sfondo dell’occupazione giapponese della Corea. Dal romanzo best seller dall’autrice coreana Min Jin Lee la serie tv trilingue Pachinko (da ieri su Apple tv+), dal nome delle sale giochi gestite dalla comunità coreana immigrata in Giappone, è un racconto emozionante e complesso che parla di prepotenze e riscatto, di forza d’animo e di sacrificio e di cosa significa dover abbandonare il proprio paese per una vita migrante. Quella bambina diventata nonna è interpretata in età dall’attrice Yuh-Jung Youn, premio Oscar per la commedia familiare Minari che ha abbracciato il personaggio di Sunja con generosità ed entusiasmo.  Cosa ha trovato in lei? "Quello che mi è piaciuto subito del personaggio di Sunja è la sua forza e determinazione a sopravvivere. Sulla sceneggiatura ho letto 'una donna anziana', ho 74 anni e mi sono detta ‘beh la posso interpretare, è l’età perfetta’. Mi ha ispirato a interpretare questo ruolo sicuramente la sceneggiatura ma poi anche il romanzo, ho trovato subito una connessione con Sunja. Dopo tanti anni di professione i ruoli sono ruoli, ogni personaggio vale uguale per me ma devo ammettere che in qualche modo questo mi ha toccato in modo più profondo con il suo viaggio di sopravvivenza e onestà. Ho sentito che dovevo interpretarla".   Le ha suscitato dei ricordi? "Certo perché anche se la storia inizia molto prima della mia nascita io in qualche modo l’ho conosciuta attraverso i racconti di mia madre. Lei è nata nel 1924, lei mi ha raccontato quell’epoca e leggendo il libro, pieno di dettagli, molti ricordi si sono risvegliati. Mi sono preparata sull’epoca di occupazione giapponese, il periodo in cui “abbiamo perso il nostro paese”, in Corea si dice così, ma poi ho riflettuto che il background storico non era così importante per me. Però i racconti di mia mamma erano vivi: non poteva parlare coreano in pubblico, la obbligavano a parlare giapponese, a scuola nessuno insegnava più a scrivere in coreano e si provava vergogna. Sunja mi ha fatto pensare molto a mia madre e alla mia famiglia, la sua storia mi è molto preziosa, sono stata molto felice di fare questa serie. Mi sono chiesta cosa avrei fatto nei suoi panni? Non so se avrei avuto il suo coraggio".  'Pachinko' parla di pregiudizi, lei se ne è mai sentita vittima? "Sempre… sempre. Quando vado oltre oceano mi succede. Ma li abbiamo tutti: tutti proviamo pregiudizi nei confronti degli altri. Se penso al mio tempo in Corea c’erano tanti immigrati nella Cina, c’erano nomi orribili che venivano dati a chi veniva da fuori. Quando sei una minoranza provi sempre questo tipo di pregiudizi anche se hai una buona natura finisci per imparare i pregiudizi dalla scuola, se non sei razzista alle volte è il mondo che te lo fa diventare".  In 'Pachinko' come in 'Minari' il cibo ha un valore grande. "Io non cucino perché sono un tipo piuttosto pigro, vivo da sola per cui non ho tutta questa voglia di cucinare per me sola. Però condividere i pasti è un qualcosa di molto importante nella cucina coreana, noi abbiamo un espressione in coreano che vuol dire “il potere del riso” perché se si condivide un pasto, si siede intorno alla stessa tavola per noi si diventa famiglia. Il cibo è molto importante nella nostra cultura forse perché eravamo un popolo molto povero".  Nel cinema ma ancor di più nella serialità il racconto negli ultimi anni ha preso un punto di vista femminile. Cosa ne pensa? "Il concetto della madre è un concetto fondamentale in tutto il mondo. Non amo le definizioni come quella di “femminista” o “sciovinista” perché le persone sono tutte differenti e complesse, ma il ruolo delle donne è importante e deve essere naturalmente riconosciuto".  Lo scorso anno ha vinto l’Oscar come miglior attrice non protagonista, premiata da Brad Pitt. "È stato molto stressante. Pensavo il primo Oscar l’ha vinto Bong – Joon ho sto a posto, non sono la prima ma non pensavo alla categoria degli attori. Tutti si congratulavano ed erano contenti ma io dentro di me mi sentivo come un atleta olimpico: devo vincere, devo vincere. È stato molto stressante anche perché mentre facevamo Minari non avevamo minimamente pensato ai premi e a tutto questo. Non mi aspettavo nulla se non di finire in tempo". Da 'Parasite' a 'Squid Game' gli ultimi anni sono stati incredibili per l’industria coreana. "Abbiamo avuto sempre buoni film e buone serie ma ci sono state nella storia varie ondate: quella del cinema italiano — ricordo quando si parlava solo di Bertolucci — , quella del cinema francese... Ora forse è il momento dei coreani. Non sono un critico o un esperto, non so dire perché improvvisamente il mondo stia rivolgendo la sua attenzione a noi. Siamo sempre stati lì".	la repubblica
04 APRILE 2022	La star di Squid Game e il successo ritrovato: "Dico grazie ai fan e a un gioco pericoloso"	https://www.repubblica.it/serietv/netflix/2022/04/04/news/squid_game_lee_jung_jae-344145977/?ref=search	“No: non ho mai pensato di ritirarmi dalle scene”. Sospiro di sollievo per gli appassionati di Squid Game, la serie più vista nella storia di Netflix. Lee Jung-jae, 49 anni, in cima alla classifica degli attori dai compensi stellari del cinema coreano, ci racconta il destino del “torneo della morte”. Ha già ispirato uno sketch comico al Saturday Night Live, con Pete Davidson e Rami Malek in versione country-pop, mentre al Grand-Guignol generale (i partecipanti sono sterminati per gioco) è riuscito a infilare più di un dibattito sugli effetti della violenza nei ragazzini. “Non è una serie sui giochi di sopravvivenza” ha reso noto il creatore Hwang Dong-hyuk. “È un’accusa alle disuguaglianze e al capitalismo moderno”.  Lee Jung-jae, SAG Award come miglior attore per Squid Game, come convivono in lei il successo e il desiderio di rinunciare alla recitazione?  Sono grato agli spettatori in tutto il mondo - a un mese dalla première, 142 milioni di famiglie sono rimaste incollate alla serie - ma sul mio ritiro deve esserci un malinteso. In passato ho dichiarato di aver vissuto un crollo personale, sarà durato circa due anni. Quando da giovane non vedi progressi, è naturale perdersi d’animo. Il resto è stato ingigantito dai media. Grazie agli amici, ai registi e ai fan che hanno creduto in me, la passione per il cinema è tornata a scorrere più forte di prima.  Ha mai partecipato ai giochi per bambini, coreani e non, che appaiono nella serie?  Crescendo negli anni Settanta a Seoul ho giocato a Squid Game e a tutti gli altri tornei. Sul set mi tornavano in mente le facce degli amici d’infanzia, le loro risate, i pianti e le urla. I veri giochi non sono violenti, però se ti lasci prendere la mano, la faccenda può farsi complicata… Una volta arrivato nel teatro di posa, mi sono subito chiesto come avrebbero ricreato la gigante, mitica Red Light Green Light, in grado di rilevare i movimenti dei giocatori che dovrebbero restare immobili. Non potete capire la sorpresa di trovarmi faccia a faccia con la replica in scala della bambola robotica Yeong-hee!  E le parodie di Squid Game in rete la divertono? Culturalmente, ormai Squid Game è uno stato di trascendenza, un rito di passaggio per 90 paesi. Mi hanno mostrato su YouTube performance e sketch spassosissimi. Eppure, ogni volta che butto un occhio ai numeri dello streaming, resto stupito. Sento addosso un grande senso di responsabilità. Le persone non sono numeri, il potere della cultura popolare non va sottovalutato.  Crede che la distopia, con la sua analisi spietata della disparità economica, possa offrire una finestra sulla cultura coreana?  La critica al capitalismo offre una nuova consapevolezza della realtà in cui viviamo. Io mi auguro che la parte filosofica di Squid Game allarghi la visione del mondo sulla cultura coreana. Lo spirito politico della serie mi affascina. Basti prendere la premessa: un centinaio di giocatori in lotta fino alla morte per una ricompensa di 38 milioni di dollari. Quei sei round di giochi bambineschi sono una prospettiva che va controcorrente rispetto all’egemonia culturale. I personaggi del gioco indossano tutti gli stessi vestiti e vengono identificati da numeri al posto del nome, come se fossero parte di un microcosmo nascosto. L’insieme di individui che vivono associati in Squid Game adotta, in apparenza, uno slogan di concorrenza leale, ma di leale non c’è proprio nulla. Forse sono i personaggi, così realistici, fusi nell’immaginario dei giochi di sopravvivenza, a conquistare la simpatia degli spettatori. Tutti possono riconoscersi, nel bene e nel male.  Jooyoung Shin, insegnante di fashion design, ha detto che le famigerate tute da ginnastica sono diventate un marchio dello status sociale nella cultura coreana contemporanea. In Corea, la tuta verde è più di un abbigliamento sportivo. È comoda da indossare a casa e fa molto casual. Il pubblico coreano è rimasto colpito nel vedermi indossare una felpa del genere in Squid Game, forse non si aspettava che il mio ‘corpo da attore’ oggi privilegiasse un capo sportivo. I costumi sono codici, i codici sono dei valori.  Qual è stata la più grande sfida nell’interpretare il Giocatore 456 nella prima stagione e come si svilupperà il personaggio in futuro?  Seong Gi-hun non è un personaggio conciliante. Per la natura spietata del gioco, deve poter adottare qualsiasi mezzo necessario per vincere, anche se questo significa barare o mentire agli altri. Un fortissimo senso di colpa mi ha perseguitato durante le riprese, al punto da arrivare a chiedermi: “Ma sono davvero io quello in scena?”. Ho incarnato lati terribili dell’essere umano, specialmente nell’episodio 6, verso Il-nam, e nell’episodio 9 nei riguardi di Cho Sang-woo. Per interpretare il personaggio di Gi-hun, un povero squattrinato che gioca troppo d’azzardo, ruba alla famiglia ed è picchiato dagli strozzini, ho indossato un cappello e una maschera, fino a mettermi ad osservare di notte le persone mentre camminavano per strada. Volevo recuperare i miei ricordi passati, fatti per lo più di povertà, e far emergere le emozioni di quel periodo. La prima cosa che lo spettatore deve pensare è “Questo gioco è reale”, ma con un po’ di sano umorismo. La stagione 2 si annuncia ricca di colpi di scena. Sono curioso di sapere che direzione prenderà la nuova storia.  Il ruolo della consacrazione è arrivato con 'City of the Rising Sun' nel 1998. Stessi temi: un uomo alla ricerca del senso della vita e il gioco di mezzo.  Avevo 27 anni. Se potessi viaggiare indietro nel tempo, vorrei dire a me stesso: “Ricorda di essere grato per tutto ciò che la vita ti regala, lavora con costanza e divertiti sempre”.  La sua performance ne 'Il mare' ha un approccio che sembra seguire un dogma tutto suo. Da dove arriva?  Naturalezza e osservazione sono le regole del mio mestiere. È passato molto tempo dalla sua uscita, ne hanno fatto un remake con Keanu Reeves e Sandra Bullock. Se arrivasse un’opportunità come Il Mare, accetterei subito la sfida. Voglio tornare a recitare in un melodramma.  A Firenze parteciperà ad una masterclass sulla sua carriera. Ho sentito che il Florence Korea Film Fest è cresciuto molto negli ultimi vent’anni ed è considerato il festival cinematografico per eccellenza nella programmazione coreana in Europa. Sono orgoglioso di mostrare anche Deliver Us from Evil di Hong Won-Chan. Mettermi in gioco è nel mio sangue. Non solo recito ma produco, scrivo, dirigo. Le riprese del mio debutto alla regia, Hunt, sono appena terminate. Il cinema è un lavoro di gruppo, senza una crew non potrei ampliare i miei orizzonti e la mia visione dell’arte. Ho sperimentato sulla mia pelle che dirigere e recitare allo stesso tempo è un compito ingrato: richiede una forza fisica da atleti!	la repubblica
26 marzo 2022	Al Korea Film Festival arriva la star di "Squid Game"	https://ricerca.repubblica.it/repubblica/archivio/repubblica/2022/03/26/al-korea-film-festival-arriva-la-star-di-squid-gameFirenze14.html?ref=search	di Barbara Gabbrielli Da divo del cinema sudcoreano a volto di "Squid Game", Lee Jung-jae atterra a Firenze per la ventesima edizione del Florence Korea Film Fest, dal 7 al 15 aprile al Cinema La Compagnia e online su Più Compagnia e My Movies. Insieme al regista della serie Netflix che più ha fatto discutere negli ultimi mesi, Hwang Dong-hyuk, il 9 aprile, converseranno con i critici Caterina Liverani e Marco Luceri ( ore 11 ingresso 10 euro), mentre il festival dedica un omaggio all'attore con una selezione dei film che hanno caratterizzato il suo percorso artistico prima del successo planetario in tv. La rassegna dedicata alla produzione cinematografica coreana si apre invece il 7 con il roadmovie "Heaven: to the Land of happiness", ultimo film di Im Sang Soo che sarà presente in sala. Per chi volesse arrivare preparato, il 4 alle ore 16, in Mediateca, si terrà un incontro dal titolo "Introduzione al cinema coreano" ( via San Gallo 25, ingresso gratuito). Il programma del festival si snoda attraverso titoli che spaziano dai blockbuster ai film storici, dall'horror adrenalinico fino al cinema d'autore. Come il film storico "The book of fish", un bianco e nero raffinatissimo. Non mancano la sezione del cinema indipendente e quella dedicata ai documentari. È nuovo invece il focus sul rapporto tra webtoon e cinema con quattro film ispirati al mondo della narrazione animata web. In chiusura, l'atteso " Escape from Mogadishu" di Ryoo Seung- wan, campione d'incassi in Corea del Sud.  Via Cavour 50r, dal 7 al 15 aprile, ingresso 6/ 4 euro, 055 5048516, www.koreafilmfest.com.  k Sullo schermo In arrivo a Firenze le novità della produzione cinematografica coreana,anche indipendente	la repubblica
05 aprile 2022	La star di Squid Game "La mia seconda vita è un gioco pericoloso"	https://ricerca.repubblica.it/repubblica/archivio/repubblica/2022/04/05/la-star-di-squid-game-la-mia-seconda-vita-e-un-gioco-pericoloso40.html?ref=search	Lee Jung-jae al Korea Film Festival dopo il successo su Netflix  di Filippo Brunamonti «No, non ho mai pensato di ritirarmi». Sospiro di sollievo per gli appassionati di Squid Game, la serie più vista nella storia di Netflix. Lee Jung-jae, 49 anni, in cima alla classifica degli attori dai compensi stellari del cinema coreano, ci racconta il destino del "torneo della morte". L'olimpiade distopica ha già ispirato uno sketch al Saturday Night Live, con Pete Davidson e Rami Malek in versione country-pop, mentre al Grand-Guignol generale (i partecipanti, su un'isola al largo di Seoul, sono sterminati per gioco) è riuscito a infilare più di un dibattito sugli effetti della violenza sui ragazzini. «Non è una serie sui giochi di sopravvivenza» ha fatto sapere il creatore della serie Hwang Dong-hyuk. «È un'accusa alle disuguaglianze e al capitalismo moderno». Il ruolo del protagonista Seong Gi-hun, detto Giocatore 456 — corredato da outfit di culto (tutina verde e sneaker senza lacci) e arbitri-cecchini (un'enorme bambola robot sparatutto) — sta regalando una seconda vita a Lee Jung-jae, ospite d'onore della XX edizione del Florence Korea Film Festival, in programma da giovedì fino al 15 aprile: «Sono consapevole di far parte di un fenomeno di massa. Ora il mio compito è trasmettere un messaggio ottimista per il futuro».  Si è da poco aggiudicato un Sag Award come miglior attore: «Sono grato agli spettatori in tutto il mondo — a un mese dalla première, 142 milioni di famiglie sono rimaste incollate alla serie — ma sul mio ritiro deve esserci un malinteso. Ho dichiarato di aver vissuto un crollo personale. Quando da giovane non vedi progressi, è naturale perdersi d'animo. Grazie ai fan, la passione è tornata più forte che mai». Crescendo negli anni Settanta a Seoul, Lee ha giocato a Squid Game e a tutti gli altri tornei. «Lo spirito politico della serie mi affascina. Basti prendere la premessa: un centinaio di giocatori in lotta fino alla morte per una ricompensa di 38 milioni di dollari. L'analisi spietata dello show può offrire una finestra sull'egemonia culturale ». Ricorda: «Sul set mi tornavano spesso in mente le risate, i pianti e le urla degli amici d'infanzia. I veri giochi, coreani e non, non sono così violenti, però se ti lasci prendere la mano la competizione può diventare aggressiva ». Le parodie che circolano in rete lo divertono parecchio: «Mi hanno mostrato su YouTube alcune performance spassosissime.  Squid Game è ormai uno stato di trascendenza, un rito di passaggio per 90 paesi. Eppure, ogni volta che butto un occhio ai numeri dello streaming, resto stupito. Sento addosso un grande senso di responsabilità».  Lee ha debuttato nella moda e nella tv a metà anni Novanta; il ruolo della consacrazione è arrivato con City of the Rising Sun nel 1998. Temi paralleli a Squid Game: un uomo alla ricerca del senso della vita e il gioco di mezzo. «Avevo 27 anni — sospira — se potessi viaggiare indietro nel tempo, vorrei dire a me stesso: ricorda di essere grato per tutto ciò che la vita ti regala, lavora con costanza e divertiti sempre». Uno dei film a cui è più affezionato è Il mare: «È passato molto tempo dalla sua uscita, ne hanno fatto un remake con Keanu Reeves e Sandra Bullock. Mi piacerebbe tornare a recitare in un melodramma ». A Firenze parteciperà ad una masterclass sulla sua carriera. «Ho sentito che il Florence Korea Film Fest è cresciuto molto negli ultimi vent'anni ed è considerato il festival per eccellenza nella programmazione coreana in Europa», dice. «Sono orgoglioso di mostrare anche Deliver Us from Evil di Hong Won-Chan. Mettermi in gioco è nel mio sangue. Non recito soltanto; produco, scrivo, dirigo. Le riprese del mio debutto alla regia, Hunt, sono appena terminate. Il cinema è lavoro di gruppo. Ho sperimentato sulla mia pelle che dirigere e recitare allo stesso tempo è un compito ingrato: richiede una forza fisica da atleti. Altro che Squid Game! ».  ©RIPRODUZIONE RISERVATA  j Sfida mortale Lee Jung-jae, 49 anni, nel ruolo del "Giocatore 456" in  Squid Game: disponibile su Netflix, la serie è diventata un fenomeno planetario	la repubblica
10 FEBBRAIO 2022	Squid Game' va in sala a Los Angeles e New York	https://www.repubblica.it/serietv/netflix/2022/02/10/news/squid_game_in_sala_a_los_angeles_e_new_york-337184938/?ref=search	 La sfida senza esclusione di colpi di Squid Game, la serie exploit coreana che ha fatto impennare le quotazioni di Netflix, per due giorni sarà nei cinema americani.  Variety annuncia infatti che il 12 e il 19 febbraio la serie di Hwang Dong-hyuk sarà nelle sale di New York e Los Angeles. Le proiezioni sono gratuite per i membri dei Sag Awards, i premi assegnati dall'associazione degli attori ai loro pari, ma aperte - a pagamento - anche agli spettatori comuni.  Per la prima volta nella storia del premio infatti una serie non in lingua inglese concorre nelal cinquina per la migliore serie drammatica accanto a Succession, Yellowstone, The Morning Show e The Handmaid's Tale. La serie ha anche ottenuto nomination come attore in una serie drammatica (Lee Jung-jae, il protagonista), attrice in una serie drammatica (Jung Ho-yeon, la giovane ladra) e gruppo di stunt. La serie è attualmente la più vista su Netflix.	la repubblica
07 ottobre 2021	Squid game' la serie tv coreana: giocare per sopravvivere	https://video.repubblica.it/serietv/squid-game-la-serie-tv-coreana-giocare-per-sopravvivere/398055/398767?ref=search	Tutto comincia con un misterioso invito a partecipare a una gara, inviato a persone con un disperato bisogno di denaro. I 456 partecipanti di ogni ceto sociale sono intrappolati in un luogo segreto dove competono per vincere 45,6 miliardi di won. Apparentemente è un popolare gioco coreano per l'infanzia come "Un, due, tre, stella" ma chi perde... muore. Su Netflix la serie tv coreana 'Squid game', nove episodi scritti e diretti da Hwang Dong-hyuk	la repubblica
02 novembre 2021	Cop26, protesta degli ambientalisti in stile Squid Game a Glasgow	https://video.repubblica.it/green-and-blue/dossier/cop26/cop26-protesta-degli-ambientalisti-in-stile-squid-game-a-glasgow/400400/401110?ref=search	"Smettete di giocare con il futuro dell'umanità", così un gruppo di attivisti per il clima ha deciso di scegliere la fama della serie coreana "Squid Game" per protestare vicino alla sede della Cop26 di Glasgow. Una ventina di ambientalisti hanno messo in scena uno dei giochi mortali che si vedono nella serie: alcuni indossavano le divise rosse con la maschera nera delle guardie, mentre altri, con maschere giganti dei leader mondiali, si passavano un pallone raffigurante la Terra.	la repubblica
23 gennaio 2022	Pesca e corsa tra sacchi i vecchi giochi di strada nelle mini Olimpiadi	https://ricerca.repubblica.it/repubblica/archivio/repubblica/2022/01/23/pesca-e-corsa-tra-sacchi-i-vecchi-giochi-di-olimpiadiMilano11.html?ref=search	di Manfredi Lamartina  Va detto che Squid Game ha modificato radicalmente il modo di cui vengono percepite le attività per l'infanzia e dunque la prima cosa che si controlla è se nell'elenco delle " gare" delle Olimpiadi dei giochi e delle arti di strada c'è anche l'ormai famigerato " Un due tre stella", che la serie coreana ha reso un incubo distopico e sanguinario. La risposta, a scanso di equivoci, è no. E il modello pare essere quello più rassicurante dei Giochi senza frontiere: « Squid Game non c'entra nulla, non è qualcosa alla quale ci ispiriamo » , scherza il trentaduenne Luca Grinzato, tra i fondatori di UrbanAct, realtà milanese nata nel 2017 che si occupa di realizzare eventi sportivi «per aiutare il cambiamento sociale e la crescita della città » , spiega. Tra le iniziative, ci sono proprio queste strane e divertenti Olimpiadi che cominceranno oggi dalle 10 alle 18 e andranno avanti fino al 26 febbraio, principalmente nei fine settimana, al Parco della Lambretta, nel quartiere Rubattino, che per l'occasione si trasforma in una sorta di villaggio olimpico. È un progetto pensato per bambini e ragazzi dai 6 ai 14 anni che si sfidano a squadre affrontando prove di abilità, da completare entro un'ora di tempo.  La scelta del parco non è stata casuale: «È un'area dove convivono sia la parte " verde" sia quella urbana, con la presenza della tangenziale — continua Grinzato — quindi si tratta di un luogo perfetto per stare in mezzo alla natura pur con uno scenario metropolitano adatto ai nostri giochi di strada » . Tra i più popolari c'è per esempio quello degli " Alberi matti", che prevede che i giovani concorrenti camminino sopra una panca cercando di rimanere in equilibrio mentre gli animatori tentano in tutti i modi di distrarli e farli cadere. C'è la " Pesca miracolosa", in cui bisogna pescare con un filo i pesciolini che sono stati posizionati per terra. Ci sono gli " Sci storici", ovvero « sci di legno lunghi circa due metri — dice Grinzato — che devono essere indossati per poi percorrere nel più breve tempo possibile una ventina di metri. Pure i grandi vogliono tentare questo gioco » . " Ludos" è una corsa tra sacchi di iuta pieni di piume che volteggiano da destra a sinistra: vince chi riesce a non farsi colpire.  Spazio anche per lo street basket, una versione riformulata della pallacanestro, e per la street art: «C'è una persona che si occuperà di abbellire in maniera permanente una parte del parco — prosegue Grinzato — e le formazioni che vorranno mettersi alla prova potranno contribuire all'opera, un mosaico di arte urbana destinato a restare dopo la fine delle Olimpiadi. In cambio, avranno punti che saranno utili in vista della classifica » . La graduatoria si completerà alla fine di febbraio, dunque non sono previsti vincitori di giornata, ma tutti concorrono alla vittoria finale. Per prenotarsi e gareggiare gratuitamente bisogna andare sul sito www.olimpiadigiochidistrada.it: «Ci aspettiamo di coinvolgere cinquecento squadre composte da tre o quattro bambini » , dice Grinzato, consapevole della situazione pandemica non semplicissima: « Abbiamo dalla nostra l'esperienza della scorsa estate: i giochi sono sanificati e gli animatori hanno una formazione ad hoc. Vogliamo far sì che questa iniziativa venga vissuta nel modo più naturale possibile».  © RIPRODUZIONE RISERVATA  j Parco della Lambretta Via Rubattino 37, oggi ore 10-18, www.olimpiadigiochidistrada.it. Nelle foto alcune delle attività proposte a bambini e famiglie	la repubblica
13 ottobre 2021	Come si vince il "gioco del calamaro" che ha ispirato la serie cult Squid Game	https://video.repubblica.it/tecnologia/tech/come-si-vince-il-gioco-del-calamaro-che-ha-ispirato-la-serie-cult-squid-game/398587/399299?ref=search	Squid game significa "gioco del calamaro". La serie tv sudcoreana prodotta da Netflix, una delle più viste di sempre da quando esiste la piattaforma streaming, si ispira a un gioco praticato dai bambini del paese asiatico negli anni 70 e 80. Un gioco considerato violento perché è ammesso usare la forza contro l’avversario: ecco le regole.	la repubblica
02 novembre 2021	Squid Game, come parlarne a scuola: i consigli degli educatori dell'Università della Calabria	https://video.repubblica.it/serietv/squid-game-come-parlarne-a-scuola-i-consigli-degli-educatori-dell-universita-della-calabria/400349/401059?ref=search	La serie coreana 'Squid Game' ha riscosso successo anche tra i bambini, nonostante i contenuti violenti. È giusto parlarne a scuola? E come farlo? I consigli degli educatori dell'Università della Calabria.	la repubblica
11 novembre 2021	Korea Week Tutti gli avatar di Squid Game	https://ricerca.repubblica.it/repubblica/archivio/repubblica/2021/11/11/korea-week-tutti-gli-avatar-di-squid-gameRoma09.html?ref=search	di Franco Montini Dapprima Gangnam Style, il singolo del rapper Psy, primo video della storia a raggiungere un miliardo di visualizzazioni. Poi Parasite, il film di Bong Joon- ho, primo lungometraggio non in lingua inglese capace di aggiudicarsi l'Oscar nella categoria principale. In queste settimane la serie Squid Game diventata il fenomeno della rete. Come dimostrano i successi citati, tutti made in Corea del Sud, il paese asiatico sta conquistando il mondo. Ed allora l'occasione per conoscere qualcosa di più della sua storia, della sua cultura, della politica, è offerta dalla rassegna " Korea Week", in programma con ingresso gratuito alla Casa del Cinema da oggi a domenica. Il cartellone propone nove lungometraggi realizzati nell'arco di sessant'anni. Si parte da La serva, cult movie del 1960 di Kim Kiyong, che in maniera anticonformista, precorrendo i melodrammi noir della più recente produzione coreana, esplora i temi della sessualità, del desiderio, dei rapporti di classe. L'intreccio di religioni che caratterizza la realtà coreana emerge nel film storico Beyond that Mountain di Choi Jong- Tae, che racconta l'infanzia di un bambino, destinato a diventare un cardinale della Chiesa cattolica, nella seconda metà dell' 800, quando il cattolicesimo era proibito. C'è anche la Corea vista dall'Italia con una web serie in cinque episodi, realizzati dagli allievi del Centro Sperimentale di Cinematografia di Milano, diretto da Maurizio Nichetti.  k Il film "Fighter" di Yun Jero	la repubblica
02 novembre 2021	La metafora del calamaro	https://ricerca.repubblica.it/repubblica/archivio/repubblica/2021/11/02/la-metafora-del-calamaro24.html?ref=search	La serie tv coreana Squid Game e le ragioni di un successo planetario  di Giancarlo De Cataldo  Ma perché siamo tutti pazzi per Squid Game?  Bastano una messa in scena ben realizzata, situazioni ad alto impatto emotivo, una spolverata di esotismo, dinamiche relazionali perfettamente concepite, un meccanismo di suspense ad orologeria a giustificare la calamaro-mania che sta invadendo l'Occidente? L'impianto, a ben vedere - un gioco tragico con la vita come posta in palio - non brilla per originalità. Si tratta anzi di un tema più volte affrontato dalla fantascienza classica (e non solo): da La settima vittima di Robert Sheckley, portata sullo schermo da Elio Petri con Mastroianni e Ursula Andress (e sceneggiatura di Flaiano e Tonino Guerra), sino alla più recente saga di Escape Room, passando per I Giocatori di Titano di Philip K. Dick, Quintet di Altman, Le mele marce di Peter Collinson e La musica del caso  di Paul Auster, non mancano esempi di narrazioni che associano il gioco alla perversione. Che si tratti del trauma della guerra, dalla natura aliena di qualche giocatore, dalla noia dei ricchi poco conta: lo statuto prevede la lotta fra un giocatore molto potente e uno molto debole. La sproporzione deve essere estrema, così come la crudeltà del più forte: condizione necessaria per la riedizione del mito di Davide e Golia che ci induce a schierarci con il giovanetto armato di fionda contro il mostruoso gigante. Lo facciamo senza ombre, dimenticando, per esempio, che sovente il giocatore debole è sceso in campo perché spinto dall'avidità, difettuccio che viene sollecitamente perdonato a fronte della protervia del nemico. Fin qui, Squid Game gioca ancora nel campo della tradizione: tutti questi elementi ricorrono nella serie coreana, i giocatori hanno qualcosa da farsi perdonare e i cattivi sembrano imbattibili. E qui subentra il vero fattore di originalità: una formidabile sintonia del racconto con lo spirito dei tempi. L'autentico snodo sta nel fatto che il gioco è frutto di una scelta collettiva dei giocatori.  Mentre nello schema classico il giocatore debole o è ignaro della posta in gioco o è forzato a giocare, nel Gioco del Calamaro le regole sono chiare e condivise.  Si firma un contratto in base al quale le vittime accettano di essere tali in vista del miraggio dell'arricchimento. Lo fanno perché convinte di non avere alternative. Anche questo tema- la scelta estrema dell'individuo con le spalle al muro- non è originale. Ma non era mai stato declinato in questo modo. I controllori di Squid Game indossano tute che ricordano vagamente un'altra serie di grande successo - La casa di carta - anch'essa figlia dei tempi; ma nel racconto di Tokyo e compagnia vibra una vena anarcoide, da giovane Brecht (meglio rapinare una banca che fondarne una) che nella serie coreana è assente. La casa di carta è un'evoluzione di Breaking Bad:  Walter White si reinventa narcotrafficante in un mondo che ti sbatte in faccia tutte le porte, perché di questi tempi essere bravo, onesto e virtuoso non basta se hai un cancro, un figlio malato e l'assicurazione ti mangia l'anima. Squid Game condivide questo humus, la metafora di società immobili, cristallizzate in un ordine castale che blocca qualunque ascensore sociale. Ricchi destinati ad essere sempre più ricchi e annoiati e poveri che vedono di minuto in minuto allontanarsi la sponda di una sia pure minimale, relativa stabilità. E leggi, regolamenti e burocrazie che sembrano studiate per acuire le disparità. Ma con qualcosa di nuovo e di inedito. A Madrid e Albuquerque si può ancora ricorrere al crimine, a Seul neanche quello. Il crimine stesso non è più una valida alternativa all'annientamento. Non resta che giocare al Gioco del Calamaro.  ©RIPRODUZIONE RISERVATA	la repubblica
